SampleID,Replicate,Acipenser,Anatidae,Anserinae,Aythya,Balaenoptera.physalus,Batrachoseps.attenuatus,Bos.taurus,Brevoortia,Buteo,Cairina.moschata,Capra.hircus,Catharus,Cavia.porcellus,Chanos.chanos,Clupeidae,Columbidae,Corvus,Cyprinus.carpio,Didelphis.virginiana,Engraulis,Felis.catus,Fulica.americana,Gadus.morhua,Gallus.gallus,Junco.hyemalis,Lithobates.catesbeianus,Mephitis.mephitis,Merluccius,Microtus.californicus,Morone.chrysops,Mus.musculus,Neotamias,Numida.meleagris,Oncorhynchus,Oryctolagus.cuniculus,Otospermophilus.beecheyi,Ovis.aries,Passer.domesticus,Passeriformes,Peromyscus,Plestiodon.skiltonianus,Procyon.lotor,Psaltriparus.minimus,Rattus.norvegicus,Rattus.rattus,Salmo.salar,Scapanus.latimanus,Sciurus.carolinensis,Sebastes,Sorex,Sturnus.vulgaris,Sus.scrofa,Sylvilagus.bachmani,Thomomys.bottae,Tilapia,Trochilidae,Turdus.migratorius,Tyto.alba,Zalophus.californianus
S20_3694,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061683379,0,0,0,0,0,0,0,0.488605287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335797968,0,0,0,0,0,0,0,0,0,0.113913366,0,0,0,0,0,0,0
S20_3695,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.951185592,0,0,0,0,0.017662193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031152215,0,0,0,0,0
S20_3696,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.879381039,0,0,0,0,0,0,0,0,0,0,0,0,0.009769316,0,0,0,0,0,0,0,0.030520198,0,0,0,0,0,0,0.033479517,0,0.04684993,0,0,0,0,0
S20_3703,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.945615589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054384411,0,0,0,0,0,0,0
S20_3705,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310164458,0.001950441,0,0,0,0,0,0.62786471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060020391,0,0,0,0,0,0,0
S20_3706,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005120702,0.987877521,0,0,0,0,0,0.007001777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S20_3707,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.418659952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.567561897,0,0,0,0,0,0,0,0,0.013778151,0,0,0,0,0
S20_3708,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243021346,0,0,0,0,0,0,0.756978654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S20_3709,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.423157344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207875937,0,0,0,0,0,0,0,0,0,0.291514201,0,0.077452518,0,0,0,0,0
S20_3711,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18867078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81132922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S20_3712,None,0,0.410793966,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06664778,0.032084425,0,0,0,0,0,0,0.019831433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.459451803,0,0.011190594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S20_3713,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027741083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867797988,0,0,0,0,0,0,0.104460929,0,0,0,0,0,0,0
S20_3714,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130838262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015194779,0.853966959,0,0,0,0,0
S20_3715,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
S20_3717,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081939163,0,0.918060837,0,0,0,0,0
S20_3718,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.890153748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109846252,0,0,0,0,0
S20_3719,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48874984,0,0,0,0,0,0,0,0,0,0,0,0,0,0.476439791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033839867,0,0,0.000970502,0,0
S20_3721,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040230506,0,0,0,0,0.192976769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008319827,0,0.758472898,0,0,0,0,0
S20_3722,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007962319,0,0,0,0,0.030503533,0,0.507681956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.453852192,0,0,0,0,0
S20_3724,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117794353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.695684603,0,0.009856153,0.176664891,0,0
S20_3725,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091517418,0.054516827,0,0,0,0,0,0.024503051,0,0,0,0,0,0,0,0,0,0,0.829462704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S20_3726,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.849510805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150489195,0,0,0,0,0
S20_3727,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.949431702,0,0,0,0,0.050568298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S20_3729,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.467438117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.488188976,0,0,0,0,0,0,0,0,0,0.044372906,0,0,0,0,0,0,0
S20_3735,None,0,0,0,0,0,0,0,0,0.177172805,0,0,0,0,0,0,0.719318678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103508517,0,0,0,0,0,0,0
S20_3762,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324446965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032260352,0,0,0,0,0,0,0,0,0,0.643292683,0,0,0,0,0
S20_3765,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174304952,0,0,0.744244136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021503041,0,0.059947871,0,0,0,0,0
S20_3767,batch1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.682409271,0,0,0.246204908,0,0,0,0,0,0,0,0,0,0,0,0,0.025953534,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045432287,0,0,0,0,0
S20_3768,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.440651965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120997124,0,0,0,0,0,0,0,0,0,0,0,0,0,0.438350911,0,0,0,0,0
S20_3771,None,0,0,0,0,0,0,0,0,0,0.406271605,0,0,0,0,0,0.209382716,0,0,0,0,0,0,0,0.351851852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032493827,0,0,0,0,0,0,0
S20_3772,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.744374121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255625879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S20_3776,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
S20_3777,batch1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S20_3780,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091894872,0,0,0,0,0,0.75574343,0,0,0,0,0,0,0,0,0,0,0,0.152361698,0,0,0,0,0
S20_3792,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.517580083,0,0,0,0,0,0,0,0,0,0,0.482419917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S20_3796,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135014173,0,0,0,0,0.025660152,0,0,0.807548859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031776816,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S20_3797,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096668592,0,0,0,0,0.008858078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018678991,0,0,0,0.875794339,0,0,0,0,0
S20_3798,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.893168472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045081519,0,0,0,0,0,0,0,0,0,0,0,0.061750009,0,0,0,0,0
S20_3800,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.813151927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013287982,0,0,0,0,0,0,0,0,0,0.133741497,0,0.039818594,0,0,0,0,0
S20_3802,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11208649,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135095176,0,0.065237479,0.005451857,0.372574386,0,0,0,0,0,0,0,0.309554611,0,0,0,0,0
S20_3806,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344436033,0,0,0,0,0,0,0.038523004,0,0,0,0,0,0,0,0,0.039111784,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577929178,0,0,0,0,0
S20_3807,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006863577,0,0,0.918755302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074381121,0,0,0,0,0,0,0
S20_3808,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017567954,0,0,0,0,0,0,0.105522175,0,0.876909871,0,0,0,0,0
S20_3813,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S20_3814,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625233645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374766355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S20_3815,batch1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S20_3816,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308705701,0,0,0,0,0,0,0.096456086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.434514638,0,0.160323575,0,0,0,0,0
S20_3822,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030384381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124710189,0,0.84490543,0,0,0,0,0
S20_3824,batch1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06764491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02161471,0,0,0,0,0,0,0,0.084571359,0,0.826169021,0,0,0,0,0
S20_3825,batch1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436670294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017627856,0,0,0,0,0,0,0,0,0,0.030032644,0,0.515669206,0,0,0,0,0
S20_3826,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.932762448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067237552,0,0,0,0,0
S20_3827,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S20_3829,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048512379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000173382,0,0,0,0,0.010264235,0,0.941050003,0,0,0,0,0
S20_3830,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.963475436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036524564,0,0,0,0,0,0,0,0,0,0,0,0
S20_3831,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
S20_3833,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114341355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058700793,0,0.826957852,0,0,0,0,0
S20_3834,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.568047337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.431952663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S20_3835,batch1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S20_3836,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.807655643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192344357,0,0,0,0,0
S20_3837,None,0,0.682515337,0,0,0,0,0.033742331,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020092025,0,0,0.124539877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139110429,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S20_3838,batch1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.856371775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010575742,0,0.133052484,0,0,0,0,0
S20_3839,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.883158375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008519702,0,0.108321923,0,0,0,0,0
